iter	RMSE
172	15905.1075
173	15790.51955
174	15682.19897
175	15568.92061
176	15444.63146
177	15328.18288
178	15223.60153
179	15129.28852
180	15022.84736
181	14933.80845
182	14827.92633
183	14716.19539
184	14617.14489
185	14506.67466
186	14393.20102
187	14303.56543
188	14217.23594
189	14120.6117
190	14017.86942
191	13921.56876
192	13822.17429
193	13730.74558
194	13624.62466
195	13546.86014
196	13448.08187
197	13358.14717
198	13256.07014
199	13155.61819
200	13082.84511
201	13008.09931
202	12900.50382
203	12806.91137
204	12713.8311
205	12621.28697
206	12525.81407
207	12439.50366
208	12372.43228
209	12276.16384
210	12182.07328
211	12087.10296
212	11991.94375
213	11894.09322
214	11808.19807
215	11712.70427
216	11627.01939
217	11553.43429
218	11460.41482
219	11377.58718
220	11288.35507
221	11196.17877
222	11112.87033
223	11032.59084
224	10951.97533
225	10874.36605
226	10791.02063
227	10716.52706
228	10638.57111
229	10580.96586
230	10513.66227
231	10423.47745
232	10341.57284
233	10257.03303
234	10197.50695
235	10121.88471
236	10042.59731
237	9966.512238
238	9905.162424
239	9850.294492
240	9774.874726
241	9722.066032
242	9668.635375
243	9599.441174
244	9524.44794
245	9453.425821
246	9384.503544
247	9310.54343
248	9259.568609
249	9205.390842
250	9154.851452
251	9077.504072
252	9026.694104
253	8977.073902
254	8925.746124
255	8863.421233
256	8810.577384
257	8740.804382
258	8691.375828
259	8643.467934
260	8580.167634
261	8516.467577
262	8468.641205
263	8416.989279
264	8369.812224
265	8321.977843
266	8274.132027
267	8228.580819
268	8183.217812
269	8138.744635
270	8091.710721
271	8047.01355
272	8002.752683
273	7955.568203
274	7911.993059
275	7868.825772
276	7825.91536
277	7786.599503
278	7726.396933
279	7684.275379
280	7624.534649
281	7581.387053
282	7539.792139
283	7498.545289
284	7458.48621
285	7403.982337
286	7363.694965
287	7305.063575
288	7263.734533
289	7224.045109
290	7183.792788
291	7140.610338
292	7101.600191
293	7062.810212
294	7025.038777
295	6987.2911
296	6949.337249
297	6911.292596
298	6866.237333
299	6828.880798
300	6789.769743
301	6752.897815
302	6715.172989
303	6678.518426
304	6642.070649
305	6605.828459
306	6569.790676
307	6533.956129
308	6482.99955
309	6446.883793
310	6410.910699
311	6376.687159
312	6340.833616
313	6306.991528
314	6272.606494
315	6238.415268
316	6203.636026
317	6170.548973
318	6136.43363
319	6102.65655
320	6062.944446
321	6030.615013
322	5996.833361
323	5966.683422
324	5934.873963
325	5905.059574
326	5872.159553
327	5839.132574
328	5807.512747
329	5775.885587
330	5743.168911
331	5711.904122
332	5680.329918
333	5649.237815
334	5618.480176
335	5588.07328
336	5557.661512
337	5529.579194
338	5500.144122
339	5469.320186
340	5439.563557
341	5409.974655
342	5380.552524
343	5350.298676
344	5320.723435
345	5290.913702
346	5262.746171
347	5233.267269
348	5204.169431
349	5175.023479
350	5146.04817
351	5117.837331
352	5089.999537
353	5060.890436
354	5033.365322
355	5005.195695
356	4977.976376
357	4950.121479
358	4922.429406
359	4895.236132
360	4868.6144
361	4842.140167
362	4815.816948
363	4789.641786
364	4763.374466
365	4737.480337
366	4710.978025
367	4684.630479
368	4658.43674
369	4632.911196
370	4607.720341
371	4582.671077
372	4557.052304
373	4531.58296
374	4506.26212
375	4481.382205
376	4456.845304
377	4431.952194
378	4407.577715
379	4382.96227
380	4358.490163
381	4334.16051
382	4309.972434
383	4285.925063
384	4262.017534
385	4238.248985
386	4215.189538
387	4191.685875
388	4168.318753
389	4145.087333
390	4121.990784
391	4099.028279
392	4076.198999
393	4053.920718
394	4031.350366
395	4008.910869
396	3986.60143
397	3964.421253
398	3942.369551
399	3920.44554
400	3898.648442
401	3876.977487
402	3855.431905
403	3834.010934
404	3812.713819
405	3791.539807
406	3770.488151
407	3749.558109
408	3728.748945
409	3708.059926
410	3687.490326
411	3667.039423
412	3646.706498
413	3626.49084
414	3606.391742
415	3586.408499
416	3566.540413
417	3546.786792
418	3527.146945
419	3507.620188
420	3488.205841
421	3468.903229
422	3449.711681
423	3430.630531
424	3411.659115
425	3392.796777
426	3374.042863
427	3355.396724
428	3336.857715
429	3318.425195
430	3300.098529
431	3281.829827
432	3263.706547
433	3245.687279
434	3227.771402
435	3209.908034
436	3192.190879
437	3174.534475
438	3157.013762
439	3139.561833
440	3122.235308
441	3105.00806
442	3087.850827
443	3070.814428
444	3053.875585
445	3037.033717
446	3020.28825
447	3003.60127
448	2987.018126
449	2970.538088
450	2954.160435
451	2937.884451
452	2921.709428
453	2905.634664
454	2889.659464
455	2873.711944
456	2857.921083
457	2842.227879
458	2826.631659
459	2811.131758
460	2795.727514
461	2780.418276
462	2765.203394
463	2750.082227
464	2735.05414
465	2720.118503
466	2705.27469
467	2690.522084
468	2675.86007
469	2661.288043
470	2646.805399
471	2632.411542
472	2618.105881
473	2603.887829
474	2589.756805
475	2575.712234
476	2561.753544
477	2547.880171
478	2534.091554
479	2520.387136
480	2506.766367
481	2493.2287
482	2479.773594
483	2466.400512
484	2451.911886
485	2437.520355
486	2423.225219
487	2409.025786
488	2394.921366
489	2380.911277
490	2366.994843
491	2353.171391
492	2339.440257
493	2325.80078
494	2312.252305
495	2298.794183
496	2285.42577
497	2272.148089
498	2258.958981
499	2245.857815
500	2232.843967
501	2219.916818
502	2207.075752
503	2194.311463
504	2181.637649
505	2169.048129
506	2156.542307
507	2144.105607
508	2131.762419
509	2119.501196
510	2107.305241
511	2095.190941
512	2083.166329
513	2071.209913
514	2059.341306
515	2047.540609
516	2035.825865
517	2024.178755
518	2012.615769
519	2001.120146
520	1989.706842
521	1978.369008
522	1967.527196
523	1956.313683
524	1945.594179
525	1934.936091
526	1924.339058
527	1913.378628
528	1902.901029
529	1892.483415
530	1882.125434
531	1871.826738
532	1861.586978
533	1851.405811
534	1841.282893
535	1831.217885
536	1821.210447
537	1811.260244
538	1801.366942
539	1791.530209
540	1781.749715
541	1772.025134
542	1762.356139
543	1752.742407
544	1743.183617
545	1733.67945
546	1724.229588
547	1714.833717
548	1705.491522
549	1696.202694
550	1686.966922
551	1677.7839
552	1668.653322
553	1659.574885
554	1650.548288
555	1641.573231
556	1632.649416
557	1623.776548
558	1614.954333
559	1606.182479
560	1597.460695
561	1588.788695
562	1580.16619
563	1571.592897
564	1563.068532
565	1554.592815
566	1546.165467
567	1537.786208
568	1529.454765
569	1521.058769
570	1512.710884
571	1504.410824
572	1496.15831
573	1487.597302
574	1479.439053
575	1470.981726
576	1462.580681
577	1454.561673
578	1446.262321
579	1437.258773
580	1428.320574
581	1419.447211
582	1411.359732
583	1402.602171
584	1393.908064
585	1385.276915
586	1376.70823
587	1368.201523
588	1359.756311
589	1351.372114
590	1343.048458
591	1334.784872
592	1326.580889
593	1319.489249
594	1312.437525
595	1305.33757
596	1298.363428
597	1291.341612
598	1284.359822
599	1277.499663
600	1270.594711
601	1263.810029
602	1256.981067
603	1250.191039
604	1243.439721
605	1236.801922
606	1230.124907
607	1223.560135
608	1216.956603
609	1210.390725
610	1203.9332
611	1197.439583
612	1190.983
613	1184.630953
614	1178.245429
615	1171.96327
616	1165.626852
617	1159.346455
618	1153.101883
619	1146.870476
620	1140.757517
621	1134.594444
622	1128.486514
623	1122.392031
624	1116.411438
625	1110.383773
626	1104.409431
627	1098.448822
628	1092.597677
629	1086.702403
630	1080.858665
631	1075.028949
632	1069.304399
633	1063.538569
634	1057.82252
635	1052.120785
636	1046.520039
637	1040.880775
638	1035.289566
639	1029.780232
640	1024.233299
641	1018.717787
642	1013.334399
643	1007.878927
644	1002.55428
645	997.1581915
646	991.7926765
647	986.5542951
648	981.2471862
649	975.9701513
650	970.8166238
651	965.5970335
652	960.4997379
653	955.3369645
654	950.2034557
655	945.1887135
656	940.1110866
657	935.1510636
658	930.1287079
659	925.1348303
660	920.2551228
661	915.3156072
662	910.4041058
663	905.6034004
664	900.745367
665	895.997046
666	891.1918966
667	886.4140093
668	881.7425496
669	877.016677
670	872.3961939
671	867.7217679
672	863.073873
673	858.5281685
674	853.9308747
675	849.359681
676	844.8875331
677	840.366109
678	835.9427649
679	831.4705673
680	827.0237709
681	822.6719907
682	818.2736121
683	813.9693257
684	809.6188366
685	805.2930694
686	801.0584084
687	796.3194758
688	792.0653795
689	787.9016254
690	783.6938404
691	779.5755388
692	774.9666007
693	770.8284893
694	766.7791438
695	762.6860692
696	758.6162545
697	754.6324105
698	750.172992
699	746.1705283
700	742.2533878
701	738.2944783
702	734.4201169
703	730.082806
704	726.1893726
705	722.3078554
706	718.4574095
707	714.6189374
708	710.4015309
709	706.3410496
710	702.5687353
711	698.8820584
712	695.1509633
713	691.1820316
714	687.4933264
715	683.8863875
716	679.9862796
717	676.3584646
718	672.751473
719	669.2224998
720	664.0589384
721	658.9432378
722	655.4308111
723	651.6950885
724	648.2225241
725	644.8230246
726	639.8629724
727	636.7737291
728	633.435846
729	629.8274721
730	626.4725452
731	623.1368931
732	620.1317136
733	616.881735
734	613.598404
735	608.8851026
736	605.9522058
737	602.7779497
738	599.3450523
739	596.4614411
740	593.2697134
741	590.1131976
742	587.0223933
743	583.8822466
744	580.7768801
745	577.7359118
746	573.3051651
747	570.5517773
748	567.5019804
749	564.5317268
750	561.5152074
751	558.5299748
752	555.8527761
753	552.944496
754	550.0527206
755	546.8089851
756	543.5875003
757	540.9816961
758	538.3919978
759	535.5308562
760	532.6714985
761	529.8866741
762	527.0585173
763	524.2587007
764	521.1686146
765	518.6768158
766	515.9101265
767	513.2135812
768	510.3869714
769	507.5768687
770	505.1542194
771	502.5137295
772	499.7471331
773	496.9966868
774	494.3985907
775	491.6777695
776	488.9728217
777	486.2836474
778	483.6101472
779	481.3051707
780	478.7875264
781	476.2842064
782	473.6651388
783	471.0613368
784	468.4727045
785	465.8991469
786	463.461608
787	460.9157379
788	458.3846856
789	456.2032014
790	453.8162052
791	451.3242891
792	448.8468724
793	446.4981296
794	444.0473515
795	441.6108263
796	439.188465
797	437.1014897
798	434.8133705
799	432.5382889
800	430.1652003
801	427.8059081
802	425.4603266
803	423.1283705
804	420.9129425
805	418.6060399
806	416.3125321
807	414.3373709
808	412.167776
809	409.9096936
810	407.7636756
811	405.5298441
812	403.3089798
813	401.1010024
814	398.9058325
815	396.8160097
816	394.6444066
817	392.485395
818	390.6263302
819	388.5796834
820	386.5447216
821	384.4295926
822	382.3267297
823	380.2360576
824	378.1575011
825	376.1757704
826	374.1195163
827	372.0751742
828	370.3157254
829	368.374891
830	366.4451494
831	364.4423445
832	362.4511445
833	360.4714784
834	358.5032754
835	356.6239606
836	354.6768657
837	352.7410417
838	350.8164199
839	349.1604129
840	347.3293435
841	345.5087516
842	343.6232287
843	341.7486198
844	339.9570977
845	338.1025854
846	336.2588045
847	334.4256898
848	332.6031761
849	331.0359273
850	329.2993522
851	327.5194525
852	325.7495306
853	324.0409331
854	322.2898742
855	320.5999592
856	318.8675594
857	317.1961251
858	315.4821829
859	313.8290295
860	312.0925776
861	310.3675666
862	308.9071485
863	307.2242747
864	305.5511452
865	304.1157809
866	302.4736158
867	300.8880507
868	299.2633804
869	297.6951546
870	296.0515294
871	294.4187363
872	293.0376396
873	291.4426164
874	289.8568318
875	288.2802299
876	286.9303322
877	285.3825064
878	283.8859973
879	282.3546624
880	280.8745145
881	279.3273309
882	277.7903465
883	276.4915275
884	274.988478
885	273.4941357
886	272.208682
887	270.7120305
888	269.2252457
889	267.9607558
90	334.8965913
891	333.1311839
892	331.3750829
893	329.6282391
894	327.8906039
895	326.1621286
896	324.4427649
897	322.7324649
898	321.0311807
899	319.3388648
900	317.65547
901	315.9809492
902	314.3152557
903	312.6583428
904	311.0101643
905	309.3706743
906	307.7398268
907	306.1175763
908	304.5038775
909	302.8986853
910	301.3019549
911	299.7136416
912	298.1337012
913	296.5620894
914	294.9987623
915	293.4436764
916	291.896788
917	290.3580541
918	288.8274317
919	287.3048779
920	285.7903502
921	284.2838064
922	282.7852043
923	281.2945021
924	279.8116581
925	278.336631
926	276.8693794
927	275.4098625
928	273.9580394
929	272.5138696
930	271.0773128
931	269.6483287
932	268.2268776
933	266.8129196
934	265.4064153
935	264.0073254
936	262.6156108
937	261.2312326
938	259.8541521
939	258.484331
940	257.1217308
941	255.7663136
942	254.4180415
943	253.0768768
944	251.7427821
945	250.41572
946	249.0956535
947	247.7825458
948	246.4763601
949	245.17706
950	243.8846091
951	242.5989714
952	241.320111
953	240.047992
954	238.782579
955	237.5238367
956	236.2717298
957	235.0262233
958	233.7872826
959	232.5548729
960	231.3289599
961	230.1095093
962	228.8964871
963	227.6898592
964	226.4895921
965	225.2956523
966	224.1080062
967	222.9266209
968	221.7514632
969	220.5825004
970	219.4196997
971	218.2630288
972	217.1124552
973	215.9679469
974	214.8294719
975	213.6969984
976	212.5704946
977	211.4499293
978	210.335271
979	209.2264886
980	208.1235512
981	207.0264279
982	205.9350881
983	204.8495013
984	203.7696371
985	202.6954655
986	201.6269563
987	200.5640798
988	199.5068063
989	198.4551062
990	197.4089501
991	196.3683088
992	195.3331533
993	194.3034546
994	193.2791839
995	192.2603127
996	191.2468125
997	190.2386549
998	189.2358118
999	188.2382553
67
52.1719776
